"","AP4_10_01","AP4_10_02","AP4_10_03","AP4_10_04","AP4_10_05","AP4_10_06","AP4_10_09","AP4_10_10","AP4_10_11","AP4_10_12","AP4_10_14","AP4_10_15","AP4_11_01","AP4_11_02","AP4_11_03","AP4_11_04","AP4_11_05","AP4_11_06","AP4_11_07","AP4_11_08","AP4_11_09","AP4_11_10"
"11",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"20",2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2
"36",2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"43",1,1,2,2,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2
"47",2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"54",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"67",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"72",2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2
"86",2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2
"89",2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2
"91",2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"92",2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
"97",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"111",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"117",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"132",2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"133",2,1,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2
"134",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"152",2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2
"155",1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2
"159",2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2
